Product Name,Printing,Condition,Rarity,Number,Market Price
Aerith,Foil,Near Mint,Starter,Re-175C/11-139S,$1.11
Aerith,Normal,Near Mint,Starter,Re-175C/11-139S,$0.52
Aerith (Full Art),Foil,Near Mint,Starter,Re-175C/11-139S,$10.66
Agrias,Foil,Near Mint,Hero,Re-031H/16-023H,$0.94
Agrias,Normal,Near Mint,Hero,Re-031H/16-023H,$0.47
Agrias (Full Art),Foil,Lightly Played,Hero,Re-031H/16-023H,$2.99
Agrias (Full Art),Foil,Near Mint,Hero,Re-031H/16-023H,$3.73
Ahriman,Foil,Near Mint,Hero,Re-088H/18-052H,$0.36
Ahriman,Normal,Near Mint,Hero,Re-088H/18-052H,$0.15
Ahriman (Full Art),Foil,Near Mint,Hero,Re-088H/18-052H,$3.25
Aldo,Foil,Near Mint,Common,Re-119C/10-086C,$0.33
Aldo,Normal,Near Mint,Common,Re-119C/10-086C,$0.11
Aldo (Full Art),Foil,Near Mint,Common,Re-119C/10-086C,$4.74
Alexander,Foil,Near Mint,Rare,Re-063C/8-046R,$0.51
Alexander,Normal,Near Mint,Rare,Re-063C/8-046R,$0.24
Alexander (Full Art),Foil,Near Mint,Rare,Re-063C/8-046R,$4.04
Alisaie,Foil,Near Mint,Hero,Re-118H/20-086H,$0.54
Alisaie,Normal,Near Mint,Hero,Re-118H/20-086H,$0.42
Alisaie (Full Art),Foil,Near Mint,Hero,Re-118H/20-086H,$5.96
Alphinaud,Foil,Near Mint,Rare,Re-002C/12-004R,$0.55
Alphinaud,Normal,Near Mint,Rare,Re-002C/12-004R,$0.18
Alphinaud (Full Art),Foil,Near Mint,Rare,Re-002C/12-004R,$4.50
Amaterasu,Foil,Near Mint,Hero,Re-001H/12-002H,$4.31
Amaterasu,Normal,Near Mint,Hero,Re-001H/12-002H,$3.15
Amaterasu (Full Art),Foil,Lightly Played,Hero,Re-001H/12-002H,$10.00
Amaterasu (Full Art),Foil,Near Mint,Hero,Re-001H/12-002H,$13.83
Amber EX,Foil,Near Mint,Common,Re-090C/16-065C,$0.30
Amber EX,Normal,Near Mint,Common,Re-090C/16-065C,$0.11
Amber EX (Full Art),Foil,Near Mint,Common,Re-090C/16-065C,$14.60
Arc EX,Foil,Near Mint,Rare,Re-062C/18-035R,$0.26
Arc EX,Normal,Near Mint,Rare,Re-062C/18-035R,$0.14
Arc EX (Full Art),Foil,Near Mint,Rare,Re-062C/18-035R,$2.72
Arecia Al-Rashia,Foil,Near Mint,Rare,Re-120C/3-097R,$0.54
Arecia Al-Rashia,Normal,Lightly Played,Rare,Re-120C/3-097R,$0.10
Arecia Al-Rashia,Normal,Near Mint,Rare,Re-120C/3-097R,$0.20
Arecia Al-Rashia (Full Art),Foil,Near Mint,Rare,Re-120C/3-097R,$7.01
Aria (III) EX,Foil,Near Mint,Hero,Re-150H/5-123H,$0.86
Aria (III) EX,Normal,Near Mint,Hero,Re-150H/5-123H,$0.75
Aria (III) EX (Full Art),Foil,Near Mint,Hero,Re-150H/5-123H,$8.39
Ark,Foil,Near Mint,Hero,Re-178H/19-105H,$0.49
Ark,Normal,Near Mint,Hero,Re-178H/19-105H,$0.27
Ark (Full Art),Foil,Near Mint,Hero,Re-178H/19-105H,$4.20
Ashe EX,Foil,Near Mint,Hero,Re-146H/18-086H,$0.47
Ashe EX,Normal,Near Mint,Hero,Re-146H/18-086H,$0.32
Ashe EX (Full Art),Foil,Near Mint,Hero,Re-146H/18-086H,$3.80
Asura,Foil,Near Mint,Hero,Re-059H/2-049H,$1.40
Asura,Normal,Near Mint,Hero,Re-059H/2-049H,$0.76
Asura (Full Art),Foil,Near Mint,Hero,Re-059H/2-049H,$13.13
Atomos,Foil,Near Mint,Hero,Re-060H/16-043H,$2.07
Atomos,Normal,Near Mint,Hero,Re-060H/16-043H,$0.61
Atomos (Full Art),Foil,Near Mint,Hero,Re-060H/16-043H,$19.46
Axis,Foil,Near Mint,Rare,Re-117C/15-086R,$0.24
Axis,Normal,Near Mint,Rare,Re-117C/15-086R,$0.10
Axis (Full Art),Foil,Near Mint,Rare,Re-117C/15-086R,$4.49
Balthier,Foil,Near Mint,Hero,Re-079H/13-048H,$1.20
Balthier,Normal,Near Mint,Hero,Re-079H/13-048H,$0.45
Balthier (Full Art),Foil,Near Mint,Hero,Re-079H/13-048H,$8.91
Bartz,Foil,Near Mint,Legend,Re-078H/7-059L,$0.46
Bartz,Normal,Near Mint,Legend,Re-078H/7-059L,$0.40
Bartz (Full Art),Foil,Near Mint,Legend,Re-078H/7-059L,$4.24
Basch,Foil,Near Mint,Legend,Re-184L/18-111L,$1.73
Basch,Normal,Near Mint,Legend,Re-184L/18-111L,$0.94
Basch (Full Art),Foil,Near Mint,Legend,Re-184L/18-111L,$8.75
Beatrix,Foil,Near Mint,Hero,Re-161H/12-103H,$2.07
Beatrix,Normal,Lightly Played,Hero,Re-161H/12-103H,$0.99
Beatrix,Normal,Near Mint,Hero,Re-161H/12-103H,$1.08
Beatrix (Full Art),Foil,Near Mint,Hero,Re-161H/12-103H,$18.08
Belias EX,Foil,Near Mint,Common,Re-022C/9-017C,$0.49
Belias EX,Normal,Near Mint,Common,Re-022C/9-017C,$0.11
Belias EX (Full Art),Foil,Near Mint,Common,Re-022C/9-017C,$3.20
Bomb,Foil,Near Mint,Common,Re-023C/7-016C,$0.59
Bomb,Normal,Lightly Played,Common,Re-023C/7-016C,$0.10
Bomb,Normal,Near Mint,Common,Re-023C/7-016C,$0.12
Bomb (Full Art),Foil,Near Mint,Common,Re-023C/7-016C,$5.37
Brother,Foil,Near Mint,Starter,Re-061C/1-197S,$0.30
Brother,Normal,Near Mint,Starter,Re-061C/1-197S,$0.37
Brother (Full Art),Foil,Near Mint,Starter,Re-061C/1-197S,$5.78
Byblos,Foil,Near Mint,Hero,Re-050H/16-038H,$0.77
Byblos,Normal,Near Mint,Hero,Re-050H/16-038H,$0.52
Byblos (Full Art),Foil,Near Mint,Hero,Re-050H/16-038H,$12.41
Cait Sith,Foil,Near Mint,Starter,Re-038C/11-133S,$0.95
Cait Sith,Normal,Near Mint,Starter,Re-038C/11-133S,$0.50
