Product Name,Printing,Condition,Rarity,Number,Market Price
Akstar,Foil,Lightly Played,Legend,18-107L,$35.00
Akstar,Foil,Near Mint,Legend,18-107L,$46.81
Ash,Foil,Near Mint,Rare,24-055R,$0.18
Ash,Normal,Near Mint,Rare,24-055R,$0.14
Ash (Full Art),Foil,Near Mint,Rare,24-055R,$2.59
Ashe,Foil,Near Mint,Rare,24-037R,$0.29
Ashe,Normal,Near Mint,Rare,24-037R,$0.15
Astrius,Foil,Lightly Played,Legend,24-091L,$3.99
Astrius,Foil,Near Mint,Legend,24-091L,$5.95
Astrius,Normal,Lightly Played,Legend,24-091L,$6.01
Astrius,Normal,Near Mint,Legend,24-091L,$4.80
Bahamut,Foil,Near Mint,Hero,24-014H,$0.85
Bahamut,Normal,Near Mint,Hero,24-014H,$0.36
Bahamut (24-015C),Foil,Near Mint,Common,24-015C,$0.54
Bahamut (24-015C),Normal,Lightly Played,Common,24-015C,$0.10
Bahamut (24-015C),Normal,Near Mint,Common,24-015C,$0.13
Bahamut (Full Art),Foil,Lightly Played,Hero,24-014H,$15.49
Bahamut (Full Art),Foil,Near Mint,Hero,24-014H,$18.15
Bahamut (XVI),Foil,Near Mint,Legend,24-110L,$14.08
Bahamut (XVI),Normal,Lightly Played,Legend,24-110L,$8.00
Bahamut (XVI),Normal,Near Mint,Legend,24-110L,$9.77
Bangaa,Foil,Near Mint,Common,24-062C,$0.32
Bangaa,Normal,Near Mint,Common,24-062C,$0.09
Barnabas (XVI),Foil,Near Mint,Rare,24-113R,$1.79
Barnabas (XVI),Normal,Lightly Played,Rare,24-113R,$0.15
Barnabas (XVI),Normal,Near Mint,Rare,24-113R,$0.24
Bartz,Foil,Near Mint,Common,24-050C,$0.42
Bartz,Normal,Near Mint,Common,24-050C,$0.05
Basch,Foil,Near Mint,Legend,24-061L,$4.52
Basch,Normal,Near Mint,Legend,24-061L,$3.34
Basch (Full Art),Foil,Near Mint,Legend,24-061L,$21.87
Behemoth,Foil,Near Mint,Rare,24-084R,$0.69
Behemoth,Normal,Lightly Played,Rare,24-084R,$0.15
Behemoth,Normal,Near Mint,Rare,24-084R,$0.14
Belgemine,Foil,Near Mint,Legend,24-052L,$1.86
Belgemine,Normal,Near Mint,Legend,24-052L,$1.96
Belgemine (Full Art),Foil,Near Mint,Legend,24-052L,$16.59
Benedikta,Foil,Near Mint,Rare,24-051R,$0.80
Benedikta,Normal,Lightly Played,Rare,24-051R,$0.20
Benedikta,Normal,Near Mint,Rare,24-051R,$0.20
Bhunivelze,Foil,Lightly Played,Legend,24-033L,$3.40
Bhunivelze,Foil,Near Mint,Legend,24-033L,$3.76
Bhunivelze,Normal,Near Mint,Legend,24-033L,$1.42
Black Mage,Foil,Near Mint,Common,24-007C,$0.32
Black Mage,Normal,Near Mint,Common,24-007C,$0.06
Cactite,Foil,Near Mint,Rare,24-059R,$0.50
Cactite,Normal,Lightly Played,Rare,24-059R,$0.15
Cactite,Normal,Near Mint,Rare,24-059R,$0.14
Cactite (Full Art),Foil,Near Mint,Rare,24-059R,$5.63
Cecil,Foil,Near Mint,Common,24-100C,$0.35
Cecil,Normal,Near Mint,Common,24-100C,$0.07
Cetia,Foil,Near Mint,Common,24-010C,$0.63
Cetia,Normal,Near Mint,Common,24-010C,$0.10
Chime,Foil,Near Mint,Rare,24-080R,$0.59
Chime,Normal,Near Mint,Rare,24-080R,$0.12
Chime (Full Art),Foil,Near Mint,Rare,24-080R,$9.33
Cidolfus,Foil,Near Mint,Rare,24-078R,$3.92
Cidolfus,Normal,Lightly Played,Rare,24-078R,$0.20
Cidolfus,Normal,Near Mint,Rare,24-078R,$0.20
Clive,Foil,Near Mint,Legend,24-005L,$44.20
Clive,Normal,Near Mint,Legend,24-005L,$21.88
