Product Name,Printing,Condition,Rarity,Number,Market Price
AVALANCHE Member,Foil,Lightly Played,Common,25-003C,$0.25
AVALANCHE Member,Foil,Near Mint,Common,25-003C,$0.24
AVALANCHE Member,Normal,Near Mint,Common,25-003C,$0.05
Abzu,Foil,Near Mint,Rare,25-086R,$0.23
Abzu,Normal,Lightly Played,Rare,25-086R,$0.15
Abzu,Normal,Near Mint,Rare,25-086R,$0.12
Abzu Shoat,Foil,Near Mint,Common,25-087C,$0.18
Abzu Shoat,Normal,Near Mint,Common,25-087C,$0.05
Ace,Foil,Near Mint,Hero,25-005H,$0.74
Ace,Normal,Near Mint,Hero,25-005H,$0.29
"Adrammelech, the Wroth",Foil,Lightly Played,Hero,25-083H,$1.00
"Adrammelech, the Wroth",Foil,Near Mint,Hero,25-083H,$0.46
"Adrammelech, the Wroth",Normal,Near Mint,Hero,25-083H,$0.38
"Adrammelech, the Wroth (Full Art)",Foil,Near Mint,Hero,25-083H,$6.91
Aerith,Foil,Near Mint,Legend,25-035L,$17.55
Aerith,Normal,Lightly Played,Legend,25-035L,$4.48
Aerith,Normal,Near Mint,Legend,25-035L,$5.69
Aerith (Full Art Signature),Foil,Near Mint,Legend,25-035L,$900.00
Aerith LB,Foil,Near Mint,Rare,25-110R,$1.35
Aerith LB,Normal,Lightly Played,Rare,25-110R,$0.35
Aerith LB,Normal,Near Mint,Rare,25-110R,$0.15
Amarant,Foil,Near Mint,Common,25-074C,$0.25
Amarant,Normal,Near Mint,Common,25-074C,$0.11
Armstrong,Foil,Near Mint,Common,25-001C,$0.99
Armstrong,Normal,Near Mint,Common,25-001C,$0.08
Atomos,Foil,Near Mint,Hero,25-053H,$0.38
Atomos,Normal,Near Mint,Hero,25-053H,$0.33
Atomos (Full Art),Foil,Near Mint,Hero,25-053H,$4.20
Baralai,Foil,Near Mint,Rare,25-081R,$0.59
Baralai,Normal,Near Mint,Rare,25-081R,$0.12
Baralai (Full Art),Foil,Near Mint,Rare,25-081R,$6.40
Barbariccia EX,Foil,Near Mint,Rare,25-047R,$0.62
Barbariccia EX,Normal,Near Mint,Rare,25-047R,$0.14
Barbariccia EX (Full Art),Foil,Near Mint,Rare,25-047R,$13.22
Barret,Foil,Lightly Played,Legend,25-066L,$8.48
Barret,Foil,Near Mint,Legend,25-066L,$7.60
Barret,Normal,Lightly Played,Legend,25-066L,$7.02
Barret,Normal,Near Mint,Legend,25-066L,$5.09
Barret (Full Art),Foil,Lightly Played,Legend,25-066L,$35.00
Barret (Full Art),Foil,Near Mint,Legend,25-066L,$30.26
Black Belt,Foil,Near Mint,Common,25-058C,$0.38
Black Belt,Normal,Near Mint,Common,25-058C,$0.09
Borghen,Foil,Near Mint,Common,25-031C,$0.20
Borghen,Normal,Near Mint,Common,25-031C,$0.06
Broden,Foil,Near Mint,Rare,25-098R,$0.29
Broden,Normal,Near Mint,Rare,25-098R,$0.09
Cagnazzo,Foil,Near Mint,Rare,25-089R,$0.27
Cagnazzo,Normal,Near Mint,Rare,25-089R,$0.12
Cagnazzo (Full Art),Foil,Near Mint,Rare,25-089R,$8.08
Cait Sith,Foil,Lightly Played,Common,25-059C,$0.50
Cait Sith,Foil,Near Mint,Common,25-059C,$0.74
Cait Sith,Normal,Near Mint,Common,25-059C,$0.07
Cater EX,Foil,Near Mint,Common,25-039C,$0.32
Cater EX,Normal,Near Mint,Common,25-039C,$0.06
Cecil,Foil,Lightly Played,Common,25-095C,$0.25
Cecil,Foil,Near Mint,Common,25-095C,$0.13
Cecil,Normal,Near Mint,Common,25-095C,$0.05
Ceodore,Foil,Near Mint,Common,25-044C,$0.28
Ceodore,Normal,Near Mint,Common,25-044C,$0.08
Chadley,Foil,Near Mint,Hero,25-027H,$0.57
Chadley,Normal,Lightly Played,Hero,25-027H,$0.46
Chadley,Normal,Near Mint,Hero,25-027H,$0.35
Chimera Brain,Foil,Near Mint,Rare,25-021R,$0.45
Chimera Brain,Normal,Near Mint,Rare,25-021R,$0.10
Chocobo,Foil,Near Mint,Common,25-045C,$0.39
Chocobo,Normal,Near Mint,Common,25-045C,$0.09
Chocobo Chick (VII),Foil,Lightly Played,Hero,25-040H,$1.00
Chocobo Chick (VII),Foil,Near Mint,Hero,25-040H,$0.50
Chocobo Chick (VII),Normal,Near Mint,Hero,25-040H,$0.29
Cid Highwind,Foil,Near Mint,Hero,25-043H,$0.86
Cid Highwind,Normal,Lightly Played,Hero,25-043H,$0.27
Cid Highwind,Normal,Near Mint,Hero,25-043H,$0.40
Cinque,Foil,Near Mint,Common,25-077C,$0.30
Cinque,Normal,Near Mint,Common,25-077C,$0.06
Cloud,Foil,Lightly Played,Legend,25-006L,$25.00
Cloud,Foil,Near Mint,Legend,25-006L,$22.32
Cloud,Normal,Lightly Played,Legend,25-006L,$7.20
Cloud,Normal,Near Mint,Legend,25-006L,$17.35
Cloud (Full Art),Foil,Lightly Played,Legend,25-006L,$95.00
Cloud (Full Art),Foil,Near Mint,Legend,25-006L,$110.01
Cloud of Darkness,Foil,Near Mint,Common,25-092C,$0.20
Cloud of Darkness,Normal,Near Mint,Common,25-092C,$0.07
Corsair,Foil,Near Mint,Common,25-093C,$0.19
Corsair,Normal,Near Mint,Common,25-093C,$0.07
Cutter,Foil,Near Mint,Rare,25-057R,$0.24
Cutter,Normal,Near Mint,Rare,25-057R,$0.08
Deuce EX,Foil,Near Mint,Common,25-011C,$0.28
Deuce EX,Normal,Near Mint,Common,25-011C,$0.05
Doctor Cid,Foil,Near Mint,Hero,25-097H,$0.28
Doctor Cid,Normal,Near Mint,Hero,25-097H,$0.25
Doctor Cid (Full Art),Foil,Near Mint,Hero,25-097H,$2.01
Dyne,Foil,Near Mint,Common,25-064C,$0.23
Dyne,Normal,Near Mint,Common,25-064C,$0.05
Dyne (Full Art),Foil,Lightly Played,Common,25-064C,$4.50
Dyne (Full Art),Foil,Near Mint,Common,25-064C,$6.08
Edward,Foil,Near Mint,Common,25-022C,$0.33
Edward,Normal,Near Mint,Common,25-022C,$0.07
Eight,Foil,Near Mint,Common,25-070C,$0.39
Eight,Normal,Near Mint,Common,25-070C,$0.06
Elite Riot Trooper,Foil,Near Mint,Common,25-076C,$0.16
Elite Riot Trooper,Normal,Near Mint,Common,25-076C,$0.06
"Famfrit, the Darkening Cloud",Foil,Near Mint,Hero,25-088H,$0.26
"Famfrit, the Darkening Cloud",Normal,Near Mint,Hero,25-088H,$0.31
"Famfrit, the Darkening Cloud (Full Art)",Foil,Near Mint,Hero,25-088H,$4.65
Fusoya,Foil,Near Mint,Hero,25-103H,$0.42
Fusoya,Normal,Near Mint,Hero,25-103H,$0.26
Fusoya (Full Art),Foil,Near Mint,Hero,25-103H,$6.75
General EX,Foil,Near Mint,Hero,25-060H,$0.31
General EX,Normal,Near Mint,Hero,25-060H,$0.30
Gimme Cat,Foil,Near Mint,Common,25-018C,$0.38
Gimme Cat,Normal,Near Mint,Common,25-018C,$0.13
Gippal,Foil,Near Mint,Rare,25-020R,$0.28
