Product Name,Printing,Condition,Rarity,Number,Market Price
Aerith,Foil,Lightly Played,Common,26-045C,$1.99
Aerith,Foil,Near Mint,Common,26-045C,$2.21
Aerith,Normal,Lightly Played,Common,26-045C,$0.10
Aerith,Normal,Near Mint,Common,26-045C,$0.09
Aila,Foil,Near Mint,Common,26-101C,$0.50
Aila,Normal,Near Mint,Common,26-101C,$0.10
Aila (Full Art),Foil,Lightly Played,Common,26-101C,$4.65
Aila (Full Art),Foil,Near Mint,Common,26-101C,$6.50
Ajido-Marujido,Foil,Near Mint,Hero,26-061H,$0.65
Ajido-Marujido,Normal,Near Mint,Hero,26-061H,$0.40
Alexander,Foil,Lightly Played,Rare,26-042R,$0.25
Alexander,Foil,Near Mint,Rare,26-042R,$0.31
Alexander,Normal,Near Mint,Rare,26-042R,$0.14
Althyk EX,Foil,Lightly Played,Rare,26-063R,$0.95
Althyk EX,Foil,Near Mint,Rare,26-063R,$1.05
Althyk EX,Normal,Near Mint,Rare,26-063R,$0.12
Amarant LB,Foil,Lightly Played,Rare,26-124R,$1.79
Amarant LB,Foil,Near Mint,Rare,26-124R,$1.74
Amarant LB,Normal,Near Mint,Rare,26-124R,$0.28
Amarant LB (Full Art),Foil,Near Mint,Rare,26-124R,$15.92
Amarant LB (Full Art),Normal,Near Mint,Rare,26-124R,$19.66
Anabella,Foil,Lightly Played,Common,26-021C,$0.50
Anabella,Foil,Near Mint,Common,26-021C,$0.62
Anabella,Normal,Near Mint,Common,26-021C,$0.08
Angeal,Foil,Near Mint,Hero,26-082H,$1.18
Angeal,Normal,Lightly Played,Hero,26-082H,$0.40
Angeal,Normal,Near Mint,Hero,26-082H,$0.43
Aphmau,Foil,Near Mint,Common,26-081C,$0.66
Aphmau,Normal,Near Mint,Common,26-081C,$0.10
Apururu,Foil,Lightly Played,Rare,26-062R,$0.25
Apururu,Foil,Near Mint,Rare,26-062R,$0.10
Apururu,Normal,Near Mint,Rare,26-062R,$0.14
Ardyn,Foil,Near Mint,Hero,26-122H,$1.07
Ardyn,Normal,Near Mint,Hero,26-122H,$0.32
Ashe,Foil,Lightly Played,Legend,26-041L,$1.90
Ashe,Foil,Near Mint,Legend,26-041L,$2.32
Ashe,Normal,Lightly Played,Legend,26-041L,$2.49
Ashe,Normal,Near Mint,Legend,26-041L,$0.89
Ashe (Full Art),Foil,Lightly Played,Legend,26-041L,$11.50
Ashe (Full Art),Foil,Near Mint,Legend,26-041L,$13.63
"Asura, Manusya of War",Foil,Near Mint,Hero,26-114H,$0.96
"Asura, Manusya of War",Normal,Lightly Played,Hero,26-114H,$0.35
"Asura, Manusya of War",Normal,Near Mint,Hero,26-114H,$0.29
Ayame,Foil,Lightly Played,Rare,26-002R,$0.35
Ayame,Foil,Near Mint,Rare,26-002R,$0.46
Ayame,Normal,Near Mint,Rare,26-002R,$0.15
Ayame (Full Art),Foil,Lightly Played,Rare,26-002R,$4.49
Ayame (Full Art),Foil,Near Mint,Rare,26-002R,$6.10
Azdaja,Foil,Near Mint,Legend,26-103L,$4.81
Azdaja,Normal,Lightly Played,Legend,26-103L,$2.09
Azdaja,Normal,Near Mint,Legend,26-103L,$1.02
Azdaja (Full Art),Foil,Lightly Played,Legend,26-103L,$6.49
Azdaja (Full Art),Foil,Near Mint,Legend,26-103L,$10.16
Azeyma EX,Foil,Lightly Played,Rare,26-001R,$1.29
Azeyma EX,Foil,Near Mint,Rare,26-001R,$1.43
Azeyma EX,Normal,Near Mint,Rare,26-001R,$0.10
Bartz,Foil,Near Mint,Legend,26-053L,$3.95
Bartz,Normal,Lightly Played,Legend,26-053L,$1.02
Bartz,Normal,Near Mint,Legend,26-053L,$1.27
Bartz (Full Art Signature),Foil,Near Mint,Legend,26-053L,$432.62
Bartz (Full Art),Foil,Lightly Played,Legend,26-053L,$15.98
Bartz (Full Art),Foil,Near Mint,Legend,26-053L,$20.86
Beastmaster,Foil,Near Mint,Common,26-069C,$0.47
Beastmaster,Normal,Near Mint,Common,26-069C,$0.07
Behemoth,Foil,Lightly Played,Common,26-019C,$0.20
Behemoth,Foil,Near Mint,Common,26-019C,$0.30
Behemoth,Normal,Near Mint,Common,26-019C,$0.07
Blue Mage,Foil,Near Mint,Common,26-102C,$0.35
Blue Mage,Normal,Near Mint,Common,26-102C,$0.09
Bugenhagen,Foil,Near Mint,Common,26-016C,$0.61
Bugenhagen,Normal,Lightly Played,Common,26-016C,$0.10
Bugenhagen,Normal,Near Mint,Common,26-016C,$0.09
Byregot,Foil,Near Mint,Common,26-094C,$0.45
Byregot,Normal,Near Mint,Common,26-094C,$0.07
Byron,Foil,Lightly Played,Common,26-013C,$0.40
Byron,Foil,Near Mint,Common,26-013C,$0.52
Byron,Normal,Near Mint,Common,26-013C,$0.09
Cactuar Conductor,Foil,Lightly Played,Rare,26-049R,$0.25
Cactuar Conductor,Foil,Near Mint,Rare,26-049R,$0.54
Cactuar Conductor,Normal,Near Mint,Rare,26-049R,$0.13
Cactuar Conductor (Full Art),Foil,Near Mint,Rare,26-049R,$11.35
Charlotte,Foil,Lightly Played,Legend,26-032L,$5.68
Charlotte,Foil,Near Mint,Legend,26-032L,$5.70
Charlotte,Normal,Lightly Played,Legend,26-032L,$2.39
Charlotte,Normal,Near Mint,Legend,26-032L,$1.60
Chemist,Foil,Lightly Played,Common,26-107C,$0.50
Chemist,Foil,Near Mint,Common,26-107C,$0.87
Chemist,Normal,Near Mint,Common,26-107C,$0.06
Cid (WOFF),Foil,Lightly Played,Common,26-030C,$1.33
Cid (WOFF),Foil,Near Mint,Common,26-030C,$0.90
Cid (WOFF),Normal,Lightly Played,Common,26-030C,$0.10
Cid (WOFF),Normal,Near Mint,Common,26-030C,$0.12
Cid (WOFF) (Full Art),Foil,Lightly Played,Common,26-030C,$23.00
Cid (WOFF) (Full Art),Foil,Near Mint,Common,26-030C,$27.44
Cid (WOFF) (Full Art),Normal,Near Mint,Common,26-030C,$25.00
Cid Raines,Foil,Near Mint,Hero,26-031H,$0.89
Cid Raines,Normal,Lightly Played,Hero,26-031H,$0.45
Cid Raines,Normal,Near Mint,Hero,26-031H,$0.44
Cid Raines (Full Art),Foil,Lightly Played,Hero,26-031H,$2.99
Cid Raines (Full Art),Foil,Near Mint,Hero,26-031H,$6.19
Cissnei,Foil,Near Mint,Rare,26-050R,$1.79
Cissnei,Normal,Near Mint,Rare,26-050R,$0.20
Cissnei (Full Art),Foil,Near Mint,Rare,26-050R,$18.18
Cissnei (Full Art),Normal,Near Mint,Rare,26-050R,$22.50
Clive,Foil,Lightly Played,Hero,26-005H,$1.25
Clive,Foil,Near Mint,Hero,26-005H,$1.40
Clive,Normal,Lightly Played,Hero,26-005H,$0.89
Clive,Normal,Near Mint,Hero,26-005H,$0.74
Clive (Full Art),Foil,Near Mint,Hero,26-005H,$49.21
Cloud,Foil,Near Mint,Common,26-048C,$1.11
Cloud,Normal,Near Mint,Common,26-048C,$0.10
Cripshay,Foil,Near Mint,Common,26-028C,$0.24
Cripshay,Normal,Near Mint,Common,26-028C,$0.08
Dark Fina LB,Foil,Lightly Played,Rare,26-127R,$0.89
Dark Fina LB,Foil,Near Mint,Rare,26-127R,$0.84
Dark Fina LB,Normal,Near Mint,Rare,26-127R,$0.20
Dio,Foil,Near Mint,Common,26-075C,$0.40
Dio,Normal,Near Mint,Common,26-075C,$0.08
Dragoon,Foil,Near Mint,Common,26-060C/15-058C,$0.55
